lead_id,user_id,assignment_ts,assignment_date,lead_source,call_center,region,car_segment,lead_channel,user_tenure_bucket,price_bucket,assignment_hour,assignment_weekday,is_weekend,user_active_days_30d,user_age_days,prior_assignments_30d,seller_inventory_count,seller_response_rate_30d,item_price_log,car_age_years,mileage_km_log,item_views_1d,item_views_3d,item_views_7d,item_views_14d,item_views_30d,item_views_90d,item_favorites_1d,item_favorites_3d,item_favorites_7d,item_favorites_14d,item_favorites_30d,item_favorites_90d,detail_expands_1d,detail_expands_3d,detail_expands_7d,detail_expands_14d,detail_expands_30d,detail_expands_90d,photo_swipes_1d,photo_swipes_3d,photo_swipes_7d,photo_swipes_14d,photo_swipes_30d,photo_swipes_90d,seller_page_views_1d,seller_page_views_3d,seller_page_views_7d,seller_page_views_14d,seller_page_views_30d,seller_page_views_90d,search_views_1d,search_views_3d,search_views_7d,search_views_14d,search_views_30d,search_views_90d,query_refinements_1d,query_refinements_3d,query_refinements_7d,query_refinements_14d,query_refinements_30d,query_refinements_90d,similar_item_clicks_1d,similar_item_clicks_3d,similar_item_clicks_7d,similar_item_clicks_14d,similar_item_clicks_30d,similar_item_clicks_90d,saved_search_matches_1d,saved_search_matches_3d,saved_search_matches_7d,saved_search_matches_14d,saved_search_matches_30d,saved_search_matches_90d,user_contacts_1d,user_contacts_3d,user_contacts_7d,user_contacts_14d,user_contacts_30d,user_contacts_90d,chat_opens_1d,chat_opens_3d,chat_opens_7d,chat_opens_14d,chat_opens_30d,chat_opens_90d,call_clicks_1d,call_clicks_3d,call_clicks_7d,call_clicks_14d,call_clicks_30d,call_clicks_90d,leadgen_prev_assigned_1d,leadgen_prev_assigned_3d,leadgen_prev_assigned_7d,leadgen_prev_assigned_14d,leadgen_prev_assigned_30d,leadgen_prev_assigned_90d,leadgen_prev_answered_1d,leadgen_prev_answered_3d,leadgen_prev_answered_7d,leadgen_prev_answered_14d,leadgen_prev_answered_30d,leadgen_prev_answered_90d,leadgen_prev_positive_1d,leadgen_prev_positive_3d,leadgen_prev_positive_7d,leadgen_prev_positive_14d,leadgen_prev_positive_30d,leadgen_prev_positive_90d,active_days_auto_1d,active_days_auto_3d,active_days_auto_7d,active_days_auto_14d,active_days_auto_30d,active_days_auto_90d,target
lead_a9fad94dcbc7f53f,user_0000012,2026-04-12 12:01:00,2026-04-12,CRM,external,south,budget,retargeting,new,low,12.0,6.0,1.0,7.0,641.0,1.0,53.0,0.472595,11.916848,9.139,12.225978,2.0,1.0,7.0,11.0,,70.0,0.0,0.0,3.0,5.0,2.0,6.0,1.0,0.0,1.0,1.0,,10.0,,2.0,3.0,4.0,13.0,36.0,0.0,0.0,0.0,0.0,1.1143903685527703,4.0,0.0,1.0,3.0,9.0,15.0,69.0,0.0,1.0,1.0,4.0,3.0,11.0,1.0,0.0,0.0,4.0,5.0,17.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,14.0,0
lead_97c40724a518989f,user_0000013,2026-04-08 16:18:00,2026-04-08,CRM,voxys,north,standard,app,new,low,16.0,2.0,0.0,16.0,57.0,0.0,37.0,0.498109,12.546063,8.909,10.900315,2.0,5.0,11.0,21.0,49.0,182.0,1.0,0.0,1.0,,8.0,21.0,1.0,1.0,3.0,5.0,9.0,29.0,1.0,1.0,7.0,12.0,25.0,87.0,0.0,0.0,0.9951391438802855,0.9627883231875646,3.853650084661608,11.0,0.0,2.0,8.0,16.0,43.0,85.0,0.0,0.0,2.0,3.0,10.0,27.0,0.0,1.0,2.0,4.0,11.0,30.0,0.0,3.0,,1.0,1.0,13.0,1.0,2.0,1.0,3.0,3.0,11.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,,1.0,2.0,4.0,9.0,0.0,0.0,1.0,1.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,3.0,12.0,31.0,0
lead_cd680d6d2a79eeda,user_0000014,2026-04-20 13:33:00,2026-04-20,Model,voxys,central,budget,app,warm,mid,13.0,0.0,0.0,13.0,826.0,0.0,5.0,0.241027,13.547972,0.0,11.937579,1.0,2.0,12.0,13.0,47.0,167.0,0.0,1.0,1.0,1.0,7.0,12.0,0.0,0.0,1.0,4.0,7.0,17.0,0.0,3.0,3.0,12.0,23.0,,0.0,,0.0,5.7671872264988275,2.181763335607405,8.0,1.0,5.0,14.0,20.0,25.0,77.0,0.0,2.0,1.0,,5.0,15.0,2.0,0.0,0.0,5.0,12.0,26.0,0.0,1.0,1.0,3.0,2.0,6.0,0.0,0.0,1.0,1.0,6.0,,0.0,0.0,0.0,2.0,7.0,8.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,7.0,7.0,20.0,1
lead_3813d4179e0f999c,user_0000015,2026-04-14 16:29:00,2026-04-14,CRM,external,central,standard,retargeting,new,low,16.0,1.0,0.0,11.0,34.0,3.0,17.0,0.460035,12.666067,10.205,12.21912,0.0,1.0,2.0,4.0,23.0,37.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,3.0,3.0,8.0,25.0,0.0,0.0,0.0,0.0,0.9400177981798867,5.0,1.0,0.0,3.0,4.0,13.0,37.0,0.0,1.0,1.0,1.0,4.0,11.0,0.0,2.0,1.0,,0.0,7.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,1.0,3.0,4.0,,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,5.0,0
lead_be9598fbca969cb7,user_0000016,2026-04-18 11:36:00,2026-04-18,Perf,external,north,standard,web,loyal,low,11.0,5.0,1.0,15.0,1087.0,1.0,38.0,0.615763,12.375181,6.576,12.335391,1.0,1.0,3.0,16.0,25.0,59.0,0.0,0.0,0.0,,3.0,7.0,0.0,0.0,0.0,3.0,3.0,9.0,0.0,2.0,2.0,2.0,11.0,44.0,0.0,0.0,,0.8710330625814835,1.9193614800164107,4.0,0.0,3.0,7.0,9.0,12.0,39.0,0.0,0.0,0.0,3.0,3.0,12.0,0.0,0.0,0.0,7.0,5.0,15.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,6.0,4.0,0.0,,0.0,1.0,,6.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,6.0,11.0,0
lead_2e8e228ae5865b7b,user_0000017,2026-04-19 16:45:00,2026-04-19,CRM,external,central,standard,web,warm,mid,16.0,6.0,1.0,10.0,1734.0,0.0,6.0,0.598702,13.151121,3.404,11.037527,0.0,1.0,3.0,3.0,7.0,23.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.0,,2.0,1.0,,0.0,0.0,0.0,0.783035669204813,0.9926756982091494,2.0,0.0,1.0,0.0,5.0,4.0,16.0,1.0,0.0,1.0,0.0,,7.0,0.0,0.0,0.0,2.0,3.0,10.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0
lead_b04fa237820cb871,user_0000018,2026-04-12 13:31:00,2026-04-12,Perf,external,east,commercial,partner,warm,low,13.0,6.0,1.0,14.0,6.0,1.0,4.0,0.317843,11.993534,4.524,11.425061,2.0,1.0,10.0,12.0,27.0,90.0,0.0,0.0,1.0,1.0,4.0,8.0,0.0,1.0,1.0,3.0,4.0,12.0,,1.0,4.0,7.0,11.0,49.0,0.0,0.0,0.7861873749318846,0.9085257096920003,1.7357362324424375,7.0,2.0,4.0,7.0,,12.0,37.0,0.0,2.0,0.0,1.0,2.0,13.0,0.0,1.0,1.0,3.0,1.0,17.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,17.0,0
lead_1e9e9389a1bc209d,user_0000020,2026-04-11 13:39:00,2026-04-11,CRM,voxys,north,premium,app,new,low,13.0,5.0,1.0,14.0,50.0,0.0,27.0,0.274804,13.016159,5.929,11.760245,1.0,0.0,2.0,9.0,18.0,42.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,3.0,5.0,6.0,0.0,2.0,2.0,4.0,5.0,27.0,0.0,0.0,1.0333649099490096,0.0,1.0756943290182628,2.0,0.0,2.0,3.0,5.0,5.0,29.0,0.0,0.0,1.0,2.0,3.0,11.0,0.0,0.0,1.0,0.0,4.0,10.0,0.0,0.0,0.0,1.0,,6.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,0
lead_51f908890fc877b3,user_0000022,2026-04-18 15:26:00,2026-04-18,Model,external,west,standard,app,new,low,15.0,5.0,1.0,17.0,790.0,1.0,5.0,0.415966,12.454625,8.648,11.653348,3.0,4.0,7.0,18.0,44.0,129.0,0.0,1.0,1.0,0.0,4.0,12.0,1.0,0.0,0.0,3.0,3.0,8.0,0.0,4.0,7.0,7.0,26.0,73.0,1.0,0.0,0.0,0.0,,7.0,,2.0,,14.0,22.0,72.0,0.0,0.0,2.0,3.0,4.0,19.0,1.0,0.0,0.0,3.0,9.0,33.0,0.0,1.0,1.0,2.0,5.0,11.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,1.0,3.0,12.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,21.0,1
lead_e305029dcc49e9b9,user_0000024,2026-04-07 12:47:00,2026-04-07,Perf,external,east,standard,partner,new,mid,12.0,1.0,0.0,9.0,541.0,2.0,17.0,0.64676,12.768626,0.0,10.024955,0.0,0.0,4.0,15.0,24.0,81.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,2.0,1.0,11.0,1.0,2.0,1.0,10.0,11.0,41.0,0.0,,0.0,2.1064419381339974,0.0,6.0,,3.0,0.0,5.0,14.0,42.0,0.0,0.0,1.0,4.0,5.0,12.0,2.0,0.0,0.0,2.0,5.0,16.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,7.0,1
lead_8e90539fa8be886b,user_0000025,2026-04-08 15:05:00,2026-04-08,Perf,external,north,premium,retargeting,warm,high,15.0,2.0,0.0,8.0,684.0,0.0,17.0,,13.452022,3.49,10.233284,1.0,4.0,5.0,14.0,32.0,97.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,1.0,2.0,1.0,7.0,5.0,1.0,2.0,1.0,9.0,8.0,35.0,0.0,0.0,0.0,2.1167257978927805,1.7269038717656342,7.0,1.0,3.0,3.0,6.0,22.0,39.0,0.0,0.0,3.0,1.0,3.0,16.0,,0.0,0.0,2.0,6.0,13.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,9.0,0
lead_f43da7da1f1c5bf1,user_0000026,2026-04-15 10:59:00,2026-04-15,Model,voxys,central,budget,partner,loyal,low,10.0,2.0,0.0,11.0,138.0,0.0,55.0,0.544545,12.15776,7.972,11.950787,,2.0,7.0,24.0,21.0,80.0,0.0,,0.0,0.0,5.0,5.0,1.0,0.0,1.0,4.0,2.0,10.0,1.0,0.0,1.0,8.0,19.0,31.0,0.0,0.0,0.0,1.7902039685686308,0.978540848678452,3.0,1.0,4.0,3.0,4.0,28.0,58.0,0.0,1.0,0.0,2.0,5.0,8.0,0.0,1.0,2.0,2.0,4.0,11.0,0.0,1.0,1.0,2.0,1.0,7.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,2.0,3.0,6.0,0
lead_e26710624488e78c,user_0000028,2026-04-18 19:39:00,2026-04-18,Perf,external,central,budget,retargeting,warm,mid,19.0,5.0,1.0,13.0,1324.0,1.0,3.0,0.57454,12.961849,5.119,10.968148,2.0,3.0,8.0,20.0,42.0,106.0,0.0,1.0,0.0,4.0,2.0,11.0,0.0,1.0,2.0,2.0,7.0,16.0,0.0,0.0,6.0,11.0,27.0,50.0,0.0,0.0,0.0,0.9867327981197639,2.150715871168992,6.0,0.0,3.0,4.0,6.0,18.0,69.0,0.0,1.0,0.0,3.0,,15.0,0.0,0.0,3.0,0.0,4.0,23.0,0.0,0.0,0.0,5.0,3.0,4.0,0.0,1.0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,1.0,6.0,9.0,0.0,0.0,0.0,0.0,2.0,4.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,,2.0,14.0,0
